condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
axi,my_assignments,3,claude-sonnet-5,2026-09-11T13:52:45.085Z,true,130671,127192,329,0,0.0436454,9.141,4,3,0
cli,message_last_commenter,3,claude-sonnet-5,2026-09-11T13:52:47.634Z,true,246265,237795,1031,0,0.09272499999999999,18.818,7,6,0
axi,overdue_oldest,1,claude-sonnet-5,2026-09-11T13:53:03.382Z,true,168113,163168,769,0,0.061101600000000006,14.71,6,5,0
axi,overdue_oldest,2,claude-sonnet-5,2026-09-11T13:53:13.090Z,true,130441,127132,320,0,0.042864400000000004,7.149,4,3,0
axi,overdue_oldest,3,claude-sonnet-5,2026-09-11T13:53:25.248Z,true,131741,127789,435,0,0.046717800000000004,8.251,4,3,0
cli,my_assignments,1,claude-sonnet-5,2026-09-11T13:53:29.638Z,true,407183,391043,2061,0,0.1643616,39.566,11,10,0
axi,url_resolve,1,claude-sonnet-5,2026-09-11T13:53:41.133Z,true,99386,95020,681,0,0.044294,13.138,3,2,0
axi,url_resolve,2,claude-sonnet-5,2026-09-11T13:53:56.507Z,true,99364,95026,611,0,0.0434832,12.806,3,2,0
axi,url_resolve,3,claude-sonnet-5,2026-09-11T13:54:10.990Z,true,99358,95025,652,0,0.043872999999999995,10.51,3,2,0
axi,nonexistent_project,1,claude-sonnet-5,2026-09-11T13:54:20.024Z,true,63993,61749,192,0,0.0242378,5.62,2,1,0
axi,nonexistent_project,2,claude-sonnet-5,2026-09-11T13:54:31.100Z,true,97042,93967,353,0,0.0356114,8.275,3,2,0
axi,nonexistent_project,3,claude-sonnet-5,2026-09-11T13:54:38.319Z,true,63989,61749,185,0,0.0241518,4.484,2,1,0
cli,my_assignments,2,claude-sonnet-5,2026-09-11T13:54:38.534Z,true,448938,432578,3381,0,0.18674459999999998,65.219,12,11,0
cli,my_assignments,3,claude-sonnet-5,2026-09-11T13:55:24.558Z,true,461714,440556,2251,0,0.1962422,41.481,12,11,0
cli,overdue_oldest,1,claude-sonnet-5,2026-09-11T13:55:42.132Z,true,215428,199359,929,0,0.11444180000000001,15.005,7,6,0
cli,overdue_oldest,2,claude-sonnet-5,2026-09-11T13:55:59.238Z,true,181197,165188,1087,0,0.1089416,14.312,6,5,0
cli,overdue_oldest,3,claude-sonnet-5,2026-09-11T13:56:17.023Z,true,135375,130050,966,0,0.057982,14.916,5,4,0
cli,url_resolve,1,claude-sonnet-5,2026-09-11T13:56:31.233Z,true,135596,129394,877,0,0.060468799999999996,11.716,4,3,0
cli,url_resolve,2,claude-sonnet-5,2026-09-11T13:56:52.897Z,true,137313,129270,999,0,0.069028,18.06,4,3,0
cli,url_resolve,3,claude-sonnet-5,2026-09-11T13:57:18.862Z,true,206349,199915,1623,0,0.08295300000000001,19.92,6,5,0
cli,nonexistent_project,1,claude-sonnet-5,2026-09-11T13:57:28.193Z,true,64052,61723,216,0,0.0248126,6.618,2,1,0
cli,nonexistent_project,2,claude-sonnet-5,2026-09-11T13:57:35.709Z,true,64041,61723,183,0,0.0244386,4.713,2,1,0
cli,nonexistent_project,3,claude-sonnet-5,2026-09-11T13:57:42.627Z,true,64019,61723,142,0,0.023935599999999998,4.472,2,1,0
